"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IVMYH34K","journalArticle","2012","Sala-Llonch, Roser; Peña-Gómez, Cleofé; Arenaza-Urquijo, Eider M.; Vidal-Piñeiro, Dídac; Bargalló, Nuria; Junqué, Carme; Bartrés-Faz, David","Brain connectivity during resting state and subsequent working memory task predicts behavioural performance.","Cortex; a journal devoted to the study of the nervous system and behavior","","1973-8102 0010-9452","10.1016/j.cortex.2011.07.006","","Brain regions simultaneously activated during any cognitive process are functionally connected, forming large-scale networks. These functional networks can be examined  during active conditions [i.e., task-functional magnetic resonance imaging (fMRI)]  and also in passive states (resting-fMRI), where the default mode network (DMN) is  the most widely investigated system. The role of the DMN remains unclear, although  it is known to be responsible for the shift between resting and focused attention  processing. There is also some evidence for its malleability in relation to previous  experience. Here we investigated brain connectivity patterns in 16 healthy young  subjects by using an n-back task with increasing levels of memory load within the  fMRI context. Prior to this working memory (WM) task, participants were trained  outside fMRI with a shortened test version. Immediately after, they underwent a  resting-state fMRI acquisition followed by the full fMRI n-back test. We observed  that the degree of intrinsic correlation within DMN and WM networks was maximal  during the most demanding n-back condition (3-back). Furthermore, individuals  showing a stronger negative correlation between the two networks under both  conditions exhibited better behavioural performance. Interestingly, and despite the  fact that we considered eight different resting-state fMRI networks previously  identified in humans, only the connectivity within the posteromedial parts of the  DMN (precuneus) prior to the fMRI n-back task predicted WM execution. Our results  using a data-driven probabilistic approach for fMRI analysis provide the first  evidence of a direct relationship between behavioural performance and the degree of  negative correlation between the DMN and WM networks. They further suggest that in  the context of expectancy for an imminent cognitive challenge, higher resting-state  activity in the posteromedial parietal cortex may be related to increased  attentional preparatory resources.","2012-10","2022-03-04 19:25:11","2022-03-04 19:25:11","","1187-1196","","9","48","","Cortex","","","","","","","","eng","Copyright © 2011 Elsevier Srl. All rights reserved.","","","","","","Place: Italy PMID: 21872853","","","","Humans; Female; Male; Young Adult; Image Processing, Computer-Assisted; Brain Mapping; Memory, Short-Term/*physiology; Magnetic Resonance Imaging; Neuropsychological Tests; Brain/*physiology; Psychomotor Performance/physiology; Rest/physiology; Nerve Net/*physiology; Attention/physiology; *Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJCLYAS7","journalArticle","2012","Lythe, Karen E.; Williams, Steven C. R.; Anderson, Clare; Libri, Vincenzo; Mehta, Mitul A.","Frontal and parietal activity after sleep deprivation is dependent on task difficulty and can be predicted by the fMRI response after normal sleep.","Behavioural brain research","","1872-7549 0166-4328","10.1016/j.bbr.2012.04.050","","Sleep disturbance in neurological and psychiatric disorders is common and associated with diminished cognitive functioning. Whilst these deficits can be localised  predominantly to frontal and parietal regions, there have been reported  inconsistencies which may be due to differences in the difficulty and type of task.  In the present study we examined the effects of sleep deprivation (SD) whilst  parametrically varying working memory load using an n-back task. 20 right-handed  males performed the n-back task after a night of normal sleep (RW: rested  wakefulness) and after approximately 31 h of SD. Comparison of load responsive  cerebral activation identified two clusters where the parametric response was  altered after SD. In the right ventrolateral prefrontal cortex activity was reduced  at the most difficult working memory load, whereas in the right inferior parietal  lobe activity was increased at the simplest working memory load. The strength of  activation in both of these regions during RW predicted the response of those same  regions to SD. While the ability to predict signal change has previously been  demonstrated using behavioural measures, to our knowledge this is the first study to  show that the neuronal effects of SD can be predicted based upon activation during a  normal rested condition.","2012-07-15","2022-03-04 19:25:11","2022-03-04 19:25:11","","62-70","","1","233","","Behav Brain Res","","","","","","","","eng","Copyright © 2012 Elsevier B.V. All rights reserved.","","","","","","Place: Netherlands PMID: 22565029","","","","Humans; Male; Adult; Young Adult; Time Factors; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Neuropsychological Tests; Oxygen/blood; Analysis of Variance; Functional Laterality; Predictive Value of Tests; Regression Analysis; Sleep/*physiology; Frontal Lobe/*blood supply; Pain Measurement; Parietal Lobe/*blood supply; Sleep Deprivation/*pathology; Wakefulness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSD93KTG","journalArticle","2014","Dettwiler, Annegret; Murugavel, Murali; Putukian, Margot; Cubon, Valerie; Furtado, John; Osherson, Daniel","Persistent differences in patterns of brain activation after sports-related concussion: a longitudinal functional magnetic resonance imaging study.","Journal of neurotrauma","","1557-9042 0897-7151","10.1089/neu.2013.2983","","Avoiding recurrent injury in sports-related concussion (SRC) requires understanding the neural mechanisms involved during the time of recovery after injury. The  decision for return-to-play is one of the most difficult responsibilities facing the  physician, and so far this decision has been based primarily on neurological  examination, symptom checklists, and neuropsychological (NP) testing. Functional  magnetic resonance imaging (fMRI) may be an additional, more objective tool to  assess the severity and recovery of function after concussion. The purpose of this  study was to define neural correlates of SRC during the 2 months after injury in  varsity contact sport athletes who suffered a SRC. All athletes were scanned as they  performed an n-back task, for n=1, 2, 3. Subjects were scanned within 72 hours  (session one), at 2 weeks (session two), and 2 months (session three) post-injury.  Compared with age and sex matched normal controls, concussed subjects demonstrated  persistent, significantly increased activation for the 2 minus 1 n-back contrast in  bilateral dorsolateral prefrontal cortex (DLPFC) in all three sessions and in the  inferior parietal lobe in session one and two (α≤0.01 corrected). Measures of task  performance revealed no significant differences between concussed versus control  groups at any of the three time points with respect to any of the three n-back  tasks. These findings suggest that functional brain activation differences persist  at 2 months after injury in concussed athletes, despite the fact that their  performance on a standard working memory task is comparable to normal controls and  normalization of clinical and NP test results. These results might indicate a delay  between neural and behaviorally assessed recovery after SRC.","2014-01-15","2022-03-04 19:25:11","2022-03-04 19:25:11","","180-188","","2","31","","J Neurotrauma","","","","","","","","eng","","","","","","","PMID: 23914845  PMCID: PMC3900041","","C:\Users\User\Zotero\storage\R4IVDUDC\Dettwiler et al. - 2014 - Persistent differences in patterns of brain activa.pdf","","Humans; Female; Male; Adult; Young Adult; Follow-Up Studies; Time Factors; Memory, Short-Term/*physiology; Magnetic Resonance Imaging; Neuropsychological Tests; Brain/*physiopathology; Athletes/*psychology; Athletic Injuries/*physiopathology/psychology; Brain Concussion/etiology/*physiopathology; Functional Neuroimaging/instrumentation/*methods; Trauma Severity Indices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A86XULCF","journalArticle","1996","Weinberger, D. R.; Mattay, V.; Callicott, J.; Kotrla, K.; Santha, A.; van Gelderen, P.; Duyn, J.; Moonen, C.; Frank, J.","fMRI applications in schizophrenia research.","NeuroImage","","1053-8119","10.1006/nimg.1996.0062","","fMRI has unique potential in the study of psychiatric patients, particularly in characterizing individual variations and changes over time. We have performed four  studies of patients with schizophrenia, using three different fMRI acquisition  protocols: (1) 3-D echo-shifted FLASH, a multishot volumetric approach; (2) 3-D  PRESTO, a hybid of multishot and echo-planar imaging (EPI) methods that also  acquires true volumetric data; and (3) a whole-brain isotropic, multislice EPI  technique. Patients were studied during sensorimotor activation and during a novel  ""N back"" working memory paradigm. In general, patients show normal sensorimotor  activation responses, although motor cortical activation tends to be less completely  lateralized. Prefrontal activation during working memory tends to be reduced in  patients with schizophrenia even when performance is normal. A major potential  confound in studying this patient population with fMRI is the effect of motion. We  propose several methodological standards to address this problem, including  comparisons of motion corrections parameters, voxel variances, and the use of an  ""internal activation standard.""","1996-12","2022-03-04 19:25:11","2022-03-04 19:25:11","","S118-126","","3 Pt 3","4","","Neuroimage","","","","","","","","eng","","","","","","","Place: United States PMID: 9345536","","","","Humans; Adult; Image Processing, Computer-Assisted; *Magnetic Resonance Imaging; Reference Values; *Brain Mapping; Prefrontal Cortex/physiopathology; Echo-Planar Imaging; Brain/physiopathology; Mental Recall/physiology; Artifacts; Dominance, Cerebral/physiology; Research; Schizophrenia/*diagnosis/physiopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UM64D829","journalArticle","2015","Čeko, Marta; Gracely, John L.; Fitzcharles, Mary-Ann; Seminowicz, David A.; Schweinhardt, Petra; Bushnell, M. Catherine","Is a Responsive Default Mode Network Required for Successful Working Memory Task Performance?","The Journal of neuroscience : the official journal of the Society for Neuroscience","","1529-2401 0270-6474","10.1523/JNEUROSCI.0264-15.2015","","In studies of cognitive processing using tasks with externally directed attention, regions showing increased (external-task-positive) and decreased or ""negative""  [default-mode network (DMN)] fMRI responses during task performance are dynamically  responsive to increasing task difficulty. Responsiveness (modulation of fMRI signal  by increasing load) has been linked directly to successful cognitive task  performance in external-task-positive regions but not in DMN regions. To investigate  whether a responsive DMN is required for successful cognitive performance, we  compared healthy human subjects (n = 23) with individuals shown to have decreased  DMN engagement (chronic pain patients, n = 28). Subjects performed a multilevel  working-memory task (N-back) during fMRI. If a responsive DMN is required for  successful performance, patients having reduced DMN responsiveness should show  worsened performance; if performance is not reduced, their brains should show  compensatory activation in external-task-positive regions or elsewhere. All subjects  showed decreased accuracy and increased reaction times with increasing task level,  with no significant group differences on either measure at any level. Patients had  significantly reduced negative fMRI response (deactivation) of DMN regions  (posterior cingulate/precuneus, medial prefrontal cortex). Controls showed expected  modulation of DMN deactivation with increasing task difficulty. Patients showed  significantly reduced modulation of DMN deactivation by task difficulty, despite  their successful task performance. We found no evidence of compensatory neural  recruitment in external-task-positive regions or elsewhere. Individual  responsiveness of the external-task-positive ventrolateral prefrontal cortex, but  not of DMN regions, correlated with task accuracy. These findings suggest that a  responsive DMN may not be required for successful cognitive performance; a  responsive external-task-positive network may be sufficient. SIGNIFICANCE STATEMENT:  We studied the relationship between responsiveness of the brain to increasing task  demand and successful cognitive performance, using chronic pain patients as a probe.  fMRI working memory studies show that two main cognitive networks [""external-task  positive"" and ""default-mode network"" (DMN)] are responsive to increasing task  difficulty. The responsiveness of both of these brain networks is suggested to be  required for successful task performance. The responsiveness of  external-task-positive regions has been linked directly to successful cognitive task  performance, as we also show here. However, pain patients show decreased engagement  and responsiveness of the DMN but can perform a working memory task as well as  healthy subjects, without demonstrable compensatory neural recruitment. Therefore, a  responsive DMN might not be needed for successful cognitive performance.","2015-08-19","2022-03-04 19:25:11","2022-03-04 19:25:11","","11595-11605","","33","35","","J Neurosci","","","","","","","","eng","Copyright © 2015 the authors 0270-6474/15/3511596-11$15.00/0.","","","","","","PMID: 26290236  PMCID: PMC4540797","","C:\Users\User\Zotero\storage\4FUM5QUM\Čeko et al. - 2015 - Is a Responsive Default Mode Network Required for .pdf","","Humans; Female; Adult; Middle Aged; Brain Mapping; Magnetic Resonance Imaging; Brain/*physiopathology; working memory; *Memory, Short-Term; *Cognition; FMRI; task performance; Nerve Net/*physiopathology; Memory Disorders/etiology/*physiopathology; *Task Performance and Analysis; chronic pain; Chronic Pain/complications/physiopathology; Cognitive Reserve; default mode; external-task-positive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2AGT6GQ","journalArticle","2019","Oyegbile, Temitayo O.; VanMeter, John W.; Motamedi, Gholam K.; Bell, William L.; Gaillard, William D.; Hermann, Bruce P.","Default mode network deactivation in pediatric temporal lobe epilepsy: Relationship to a working memory task and executive function tests.","Epilepsy & behavior : E&B","","1525-5069 1525-5050","10.1016/j.yebeh.2019.02.031","","OBJECTIVES: Children with temporal lobe epilepsy (TLE) exhibit executive dysfunction on traditional neuropsychological tests. There is limited evidence of different  functional network alterations associated with this clinical executive dysfunction.  This study investigates working memory deficits in children with TLE by assessing  deactivation of the default mode network (DMN) on functional Magnetic Resonance  Imaging (fMRI) and the relationship of DMN deactivation with fMRI behavioral  findings and neuropsychological test performance. EXPERIMENTAL DESIGN: fMRI was  conducted on 15 children with TLE and 15 healthy controls (age: 8-16 years) while  performing the N-back task in order to assess deactivation of the DMN. N-back  accuracy, N-back reaction time, and neuropsychological tests of executive function  (Delis-Kaplan Executive Function System [D-KEFS] Color-Word Interference and Card  Sort tests) were also assessed. PRINCIPAL OBSERVATIONS: During the N-back task,  children with TLE exhibited significantly less deactivation of the DMN, primarily in  the precuneus/posterior cingulate cortex compared with controls. These alterations  significantly correlated with N-back behavioral findings and D-KEFS results.  CONCLUSIONS: Children with TLE exhibit executive dysfunction which correlates with  DMN alterations. These findings suggest that the level of deactivation of specific  functional networks may contribute to cognitive impairment in children with TLE. The  findings also indicate that children with TLE have network alterations in  extratemporal lobe brain regions.","2019-05","2022-03-04 19:25:11","2022-03-04 19:25:11","","124-130","","","94","","Epilepsy Behav","","","","","","","","eng","Copyright © 2019 Elsevier Inc. All rights reserved.","","","","","","PMID: 30909075  PMCID: PMC7333914","","C:\Users\User\Zotero\storage\XF859E9Z\Oyegbile et al. - 2019 - Default mode network deactivation in pediatric tem.pdf","","Humans; Female; Male; Child; Adolescent; Magnetic Resonance Imaging/methods; Memory, Short-Term/*physiology; Neuropsychological Tests; Reaction Time; Brain/diagnostic imaging/*physiopathology; Executive Function/*physiology; *N-back task; *Default mode network; Functional Neuroimaging; *Pediatric; *Executive dysfunction; *Neuropsychological testing; *Temporal lobe epilepsy; Gyrus Cinguli/diagnostic imaging/physiopathology; Cognitive Dysfunction/physiopathology/psychology; Epilepsy, Temporal Lobe/diagnostic imaging/*physiopathology/psychology; Parietal Lobe/diagnostic imaging/physiopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MPTRCHP","journalArticle","2017","Hernaus, Dennis; Casales Santa, Marta Ma; Offermann, Jan Stefan; Van Amelsvoort, Thérèse","Noradrenaline transporter blockade increases fronto-parietal functional connectivity relevant for working memory.","European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology","","1873-7862 0924-977X","10.1016/j.euroneuro.2017.02.004","","Experimental animal work has demonstrated that dopamine and noradrenaline play an essential role in modulating prefrontal cortex-mediated networks underlying working  memory performance. Studies of functional connectivity have been instrumental in  extending such notions to humans but, so far, have almost exclusively focussed on  pharmacological agents with a predominant dopaminergic mechanism of action. Here, we  investigate the effect of a single dose of atomoxetine 60mg, a noradrenaline  transporter inhibitor, on working memory performance and associated functional  connectivity during an n-back task in 19 healthy male volunteers. Atomoxetine  increased functional connectivity between right anterior insula and dorsolateral  prefrontal cortex, precentral gyrus, posterior parietal cortex and precuneus during  the high-working memory load condition of the n-back task. Increased  atomoxetine-induced insula-dorsolateral prefrontal cortex functional connectivity  during this condition correlated with decreased reaction time variability and was  furthermore predicted by working memory capacity. These results show for the first  time that noradrenaline transporter blockade-induced increases in cortical  catecholamines accentuate fronto-parietal working memory-related network integrity.  The observation of significant inter-subject variability in response to atomoxetine  has implications for inverted-U frameworks of dopamine and noradrenaline function,  which could be useful to predict drug effects in clinical disorders with variable  treatment response.","2017-04","2022-03-04 19:25:11","2022-03-04 19:25:11","","399-410","","4","27","","Eur Neuropsychopharmacol","","","","","","","","eng","Copyright © 2017 Elsevier B.V. and ECNP. All rights reserved.","","","","","","Place: Netherlands PMID: 28291572","","C:\Users\User\Zotero\storage\K7USU7AS\Hernaus et al. - 2017 - Noradrenaline transporter blockade increases front.pdf","","Humans; Male; Adolescent; Adult; Young Adult; Image Processing, Computer-Assisted; Brain Mapping; Magnetic Resonance Imaging; Oxygen/blood; *Working memory; Cross-Over Studies; *Cognition; Healthy Volunteers; *Prefrontal cortex; Memory, Short-Term/*drug effects/physiology; Double-Blind Method; *Dopamine; *FMRI; *Noradrenaline; Adrenergic Uptake Inhibitors/*pharmacology; Atomoxetine Hydrochloride/*pharmacology; Cerebral Cortex/diagnostic imaging/*drug effects/metabolism; Functional Laterality/drug effects; Nerve Net/diagnostic imaging/*drug effects; Reaction Time/drug effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V7Z9S9SK","journalArticle","2005","Choo, Wei-Chieh; Lee, Wei-Wei; Venkatraman, Vinod; Sheu, Fwu-Shan; Chee, Michael W. L.","Dissociation of cortical regions modulated by both working memory load and sleep deprivation and by sleep deprivation alone.","NeuroImage","","1053-8119","10.1016/j.neuroimage.2004.11.029","","Working memory is an important mental capacity that is compromised following sleep deprivation (SD). To understand how working memory load interacts with state to  influence brain activation in load-sensitive regions, and the extent to which  SD-related changes are common across different loads, we used fMRI to study twelve  healthy subjects following 24 h of SD using a verbal n-back task with three load  levels. Performance decline was observed by way of reduced accuracy and slower  response times following SD. The left prefrontal region and thalamus showed load  dependent activity modulation that interacted with state. The right parietal and  anterior medial frontal regions showed load dependent changes in activity as well as  an effect of state. The anterior cingulate and occipital regions showed activation  that displayed state effects that were independent of working memory load. These  findings represent a step toward identifying how different brain regions exhibit  varying vulnerability to the deleterious effects of SD on working memory.","2005-04-01","2022-03-04 19:25:11","2022-03-04 19:25:11","","579-587","","2","25","","Neuroimage","","","","","","","","eng","","","","","","","Place: United States PMID: 15784437","","","","Humans; Female; Male; Adult; Memory/*physiology; Cerebral Cortex/*physiology; Sleep Deprivation/*physiopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5YMJKCK","journalArticle","2009","Archbold, Kristen H.; Borghesani, Paul R.; Mahurin, Roderick K.; Kapur, Vishesh K.; Landis, Carol A.","Neural activation patterns during working memory tasks and OSA disease severity: preliminary findings.","Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine","","1550-9389 1550-9397","","","STUDY OBJECTIVES: Obstructive sleep apnea (OSA) is associated with cognitive impairments in working memory (WM). Neuronal activation during WM tasks can be  indirectly assessed by blood oxygen level-dependent functional magnetic resonance  imaging (BOLD-fMRI). The purpose of this study was to describe BOLD-fMRI responses  during 2 separate working memory tasks and a finger tapping task in men with OSA. A  secondary aim was to explore the possible relation between OSA severity  (apnea/hypopnea index) and BOLD-fMRI signal patterns. METHODS: Nine treatment-naïve  men (mean age [+/- SD] of 45.7 [+/- 6.6] years) with OSA underwent BOLD fMRI testing  on a research-dedicated university-based MRI scanner. During BOLD-fMRI subjects  performed a Paced Auditory Serial Addition task (PASAT), an auditory N-Back task  (2-BACK) task, and an alternating finger tapping. RESULTS: PASAT and 2-BACK tasks  produced similar patterns of increased bilateral activation in posterior parietal,  prefrontal and cerebellar regions. BOLD signal deactivations were observed within  posterior cingulate, retrosplenial and inferior frontal regions during PASAT and  2-BACK, but not during tapping. With increased disease severity, BOLD activation  patterns were increased in the right parietal lobe, but decreased in the cerebellar  vermis. CONCLUSIONS: These preliminary findings suggest that the severity of OSA may  correlate with neural activation during tasks of working memory, potentially  reflecting compensatory neural responses in severe disease.","2009-02-15","2022-03-04 19:25:11","2022-03-04 19:25:11","","21-27","","1","5","","J Clin Sleep Med","","","","","","","","eng","","","","","","","PMID: 19317377  PMCID: PMC2637162","","","","Humans; Male; Adult; Middle Aged; Memory, Short-Term/*physiology; Neuropsychological Tests; *Magnetic Resonance Imaging; Arousal/physiology; Brain/*physiopathology; Prefrontal Cortex/physiopathology; Gyrus Cinguli/physiopathology; Parietal Lobe/physiopathology; Oxygen/*blood; Attention/physiology; Frontal Lobe/physiopathology; Polysomnography; Dominance, Cerebral/physiology; Cerebellum/physiopathology; Motor Activity/physiology; Problem Solving/physiology; Serial Learning/physiology; Sleep Apnea, Obstructive/diagnosis/*physiopathology; Synaptic Transmission/*physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AD3MJDTV","journalArticle","2019","Zhang, Junying; Yang, Caishui; Wei, Dongfeng; Li, He; Leung, Elaine Lai-Han; Deng, Qingqiong; Liu, Zhen; Fan, Xing-Xing; Zhang, Zhanjun","Long-term efficacy of Chinese medicine Bushen Capsule on cognition and brain activity in patients with amnestic mild cognitive impairment.","Pharmacological research","","1096-1186 1043-6618","10.1016/j.phrs.2019.104319","","Mild cognitive impairment (MCI), regarded as the prodromal stage before the clinical phase of Alzheimer's disease (AD), has been considered for early intervention.  Unfortunately, many trials in this stage with drugs with single-target turned out to  be little or no effect. Multi-targeting in nature based on the theory of Traditional  Chinese Medicine (TCM) offers another prospect for intervention. Together with  advanced functional magnetic resonance imaging (fMRI) technique for more sensitive  and objective evaluation, we investigated the long-term therapeutic effects of a TCM  compound on cognition and task-related neuronal activity. Sixty amnestic MCI (aMCI)  participants from randomly divided into drug (30 with Bushen capsules (BSC)) and  placebo (30 with placebo capsules) groups for this 2-years trial. Neuropsychological  and N-back task-fMRI data were acquired at baseline and two follow-ups to assess,  via linear mixed effect models, the changes of cognitive ability and brain  activation over treatments. The drug group, compared with placebo group, exhibited  improvement or stabilization in memory measures over time. Analyses of fMRI revealed  that the placebo group exhibited higher activation magnitude and spatial extents at  left superior parietal lobule; importantly, the greater activation identified in  placebo group was related to more decline in the digit span. BSC showed long-term  ameliorative effects on cognitive performances in aMCI patients, which might result  from the regulation of abnormal brain activities. Our study provided evidence for  the potential of TCM in early prevention of AD, as well as the feasibility of  neuroimaging biomarkers in clinical trials.","2019-08","2022-03-04 19:25:11","2022-03-04 19:25:11","","104319","","","146","","Pharmacol Res","","","","","","","","eng","Copyright © 2019 Elsevier Ltd. All rights reserved.","","","","","","Place: Netherlands PMID: 31220560","","","","Humans; Female; Male; Aged; Aged, 80 and over; Middle Aged; Magnetic Resonance Imaging/methods; *Working memory; Cognition/*drug effects; Double-Blind Method; *Amnestic mild cognitive impairment; *Bushen Capsule; *Superior parietal lobule; *Traditional Chinese Medicine; Alzheimer Disease/drug therapy/metabolism; Brain/*drug effects/metabolism; Capsules/*therapeutic use; Cognitive Dysfunction/*drug therapy/metabolism; Drugs, Chinese Herbal/*therapeutic use; Medicine, Chinese Traditional/methods; Memory/drug effects; Oxygen/metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA8ICPBX","journalArticle","2007","Beneventi, Harald; Barndon, Roger; Ersland, Lars; Hugdahl, Kenneth","An fMRI study of working memory for schematic facial expressions.","Scandinavian journal of psychology","","0036-5564","10.1111/j.1467-9450.2007.00536.x","","Functional magnetic resonance imaging (fMRI) was used to examine neuronal activation in relation to increasing working memory load in an n-back task, using schematic  drawings of facial expressions and scrambled drawings of the same facial features as  stimuli. The main objective was to investigate whether working memory for drawings  of facial features would yield specific activations compared to memory for scrambled  drawings based on the same visual features as those making up the face drawings.  fMRI-BOLD responses were acquired with a 1.5 T Siemens MR scanner while subjects  watched the facial drawings alternated with the scrambled drawings, in a  block-design. Subjects had to hold either 1 or 2 items in working memory. We found  that the main effect of increasing memory load from one to two items yielded  significant activations in a bilaterally distributed cortical network consisting of  regions in the occipitotemporal cortex, the inferior parietal lobule, the  dorsolateral prefrontal cortex, supplementary motor area and the cerebellum. In  addition, we found a memory load x drawings interaction in the right inferior  frontal gyrus in favor of the facial drawings. These findings show that working  memory is specific for facial features which interact with a general cognitive load  component to produce significant activations in prefrontal regions of the brain.","2007-04","2022-03-04 19:25:11","2022-03-04 19:25:11","","81-86","","2","48","","Scand J Psychol","","","","","","","","eng","","","","","","","Place: England PMID: 17430361","","C:\Users\User\Zotero\storage\W99PXQVB\Beneventi et al. - 2007 - An fMRI study of working memory for schematic faci.pdf","","Humans; Female; Male; Adult; Cognition/physiology; Magnetic Resonance Imaging/methods; Memory, Short-Term/*physiology; Emotions/physiology; Brain Mapping/methods; Image Processing, Computer-Assisted/methods; Visual Perception/physiology; Nerve Net/physiology; *Facial Expression; Brain/*anatomy & histology/physiology; Imaging, Three-Dimensional/methods; Neurosciences/*methods; Students/psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPRP8XEV","journalArticle","2008","McGeown, William J.; Shanks, Michael F.; Venneri, Annalena","Prolonged cholinergic enrichment influences regional cortical activation in early Alzheimer's disease.","Neuropsychiatric disease and treatment","","1176-6328 1178-2021","10.2147/ndt.s2461","","Neuroimaging studies of cholinesterase inhibitor (ChEI) treatment in Alzheimer's disease (AD) indicate that the short and long term actions of ChEIs are dissimilar.  fMRI studies of the ChEI rivastigmine have focused on its short term action. In this  exploratory study the effect of prolonged (20 weeks) rivastigmine treatment on  regional brain activity was measured with fMRI in patients with mild AD. Eleven  patients with probable AD and nine age-matched controls were assessed with a  Pyramids and Palm Trees semantic association and an n-back working memory fMRI  paradigm. In the patient group only, the assessment was repeated after 20 weeks of  treatment. There was an increase in task-related brain activity after treatment with  activations more like those of normal healthy elderly. Behaviorally, however, there  were no significant differences between baseline and retest scores, with a range of  performance probably reflecting variation in drug efficacy across patients. Variable  patient response and drug dynamic/kinetic factors in small patient groups will  inevitably bias (either way) the effect size of any relevant drug related changes in  activation. Future studies should take drug response into account to provide more  insight into the benefits of ChEI drugs at the individual level.","2008-04","2022-03-04 19:25:11","2022-03-04 19:25:11","","465-476","","2","4","","Neuropsychiatr Dis Treat","","","","","","","","eng","","","","","","","PMID: 18728791  PMCID: PMC2518373","","C:\Users\User\Zotero\storage\ACACL2RY\McGeown et al. - 2008 - Prolonged cholinergic enrichment influences region.pdf","","fMRI; treatment; Alzheimer’s disease; dementia; rivastigmine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FENVIS9G","journalArticle","2019","Goodin, Peter; Lamp, Gemma; Hughes, Matthew E.; Rossell, Susan L.; Ciorciari, Joseph","Decreased Response to Positive Facial Affect in a Depressed Cohort in the Dorsal Striatum During a Working Memory Task-A Preliminary fMRI Study.","Frontiers in psychiatry","","1664-0640","10.3389/fpsyt.2019.00060","","People with depression have shown alterations in processing emotional information and working memory functionality. There is some evidence that emotional content may  interact with working memory update processes, however neurological correlates are  current unknown. In this preliminary study we utilized a novel version of the  emotional variant of the n-back working memory task in fMRI. We examined BOLD  response of 14 healthy controls and 13 depressed participants in response to happy,  sad, and neutral displays of facial affect. No accuracy or reaction time differences  were found between the two groups. The depressed group showed significantly  decreased BOLD response to happy faces compared to the control group areas of the  dorsal striatum and anterior cingulate. Significant, moderate, positive associations  were found between right caudate activation with anxiety score and anterior  cingulate activation with depression score in those with depression. Our novel task  was able to elicit group level differences in emotional processing during working  memory update. These results suggest those with depression fail to differentiate  between positive emotional stimuli and stimuli with no emotional content.","2019","2022-03-04 19:25:11","2022-03-04 19:25:11","","60","","","10","","Front Psychiatry","","","","","","","","eng","","","","","","","PMID: 30890968  PMCID: PMC6411826","","C:\Users\User\Zotero\storage\74GJGRKM\Goodin et al. - 2019 - Decreased Response to Positive Facial Affect in a .pdf","","fMRI; working memory; n-back; depression; dorsal striatum; emotional processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
